gender,SeniorCitizen,tenure,Contract,MonthlyCharges,TotalCharges,Churn,CustomerSegment,ChurnProba,RiskCategory
Female,0,1,Month-to-month,29.85,29.85,No,Low Value,0.6133296,Medium Risk
Male,0,34,One year,56.95,1889.5,No,Medium Value,0.010183804,Low Risk
Male,0,2,Month-to-month,53.85,108.15,Yes,Low Value,0.4822131,Medium Risk
Male,0,45,One year,42.3,1840.75,No,Medium Value,0.021488601,Low Risk
Female,0,2,Month-to-month,70.7,151.65,Yes,Low Value,0.6211158,Medium Risk
Female,0,8,Month-to-month,99.65,820.5,Yes,Medium Value,0.9615559,High Risk
Male,0,22,Month-to-month,89.1,1949.4,No,Medium Value,0.5091475,Medium Risk
Female,0,10,Month-to-month,29.75,301.9,No,Low Value,0.17530149,Low Risk
Female,0,28,Month-to-month,104.8,3046.05,Yes,High Value,0.7182356,High Risk
Male,0,62,One year,56.15,3487.95,No,Medium Value,0.01031635,Low Risk
Male,0,13,Month-to-month,49.95,587.45,No,Low Value,0.07013981,Low Risk
Male,0,16,Two year,18.95,326.8,No,Low Value,0.0044823717,Low Risk
Male,0,58,One year,100.35,5681.1,No,High Value,0.13402379,Low Risk
Male,0,49,Month-to-month,103.7,5036.3,Yes,High Value,0.7135662,High Risk
Male,0,25,Month-to-month,105.5,2686.05,No,High Value,0.43962005,Medium Risk
Female,0,69,Two year,113.25,7895.15,No,High Value,0.022728536,Low Risk
Female,0,52,One year,20.65,1022.95,No,Medium Value,0.0050995736,Low Risk
Male,0,71,Two year,106.7,7382.25,No,High Value,0.050561316,Low Risk
Female,0,10,Month-to-month,55.2,528.35,Yes,Low Value,0.21410753,Low Risk
Female,0,21,Month-to-month,90.05,1862.9,No,Medium Value,0.4304798,Medium Risk
Male,1,1,Month-to-month,39.65,39.65,Yes,Low Value,0.9621521,High Risk
Male,0,12,One year,19.8,202.25,No,Low Value,0.025548019,Low Risk
Male,0,1,Month-to-month,20.15,20.15,Yes,Low Value,0.5722577,Medium Risk
Female,0,58,Two year,59.9,3505.1,No,Medium Value,0.0085020615,Low Risk
Male,0,49,Month-to-month,59.6,2970.3,No,Medium Value,0.02466844,Low Risk
Female,0,30,Month-to-month,55.3,1530.6,No,Medium Value,0.07669034,Low Risk
Male,0,47,Month-to-month,99.35,4749.15,Yes,High Value,0.66418177,High Risk
Male,0,1,Month-to-month,30.2,30.2,Yes,Low Value,0.69933057,High Risk
Male,0,72,Two year,90.25,6369.45,No,High Value,0.001272224,Low Risk
Female,0,17,Month-to-month,64.7,1093.1,Yes,Medium Value,0.5033656,Medium Risk
Female,1,71,Two year,96.35,6766.95,No,High Value,0.01592442,Low Risk
Male,1,2,Month-to-month,95.5,181.65,No,Medium Value,0.5893811,Medium Risk
Female,0,27,One year,66.15,1874.45,No,Medium Value,0.060562067,Low Risk
Male,0,1,Month-to-month,20.2,20.2,No,Low Value,0.20792437,Low Risk
Male,1,1,Month-to-month,45.25,45.25,No,Low Value,0.5505221,Medium Risk
Female,0,72,Two year,99.9,7251.7,No,High Value,0.0066349846,Low Risk
Male,0,5,Month-to-month,69.7,316.9,Yes,Low Value,0.5560243,Medium Risk
Female,0,46,Month-to-month,74.8,3548.3,No,Medium Value,0.24025074,Low Risk
Male,0,34,Month-to-month,106.35,3549.25,Yes,High Value,0.49590886,Medium Risk
Female,0,11,Month-to-month,97.85,1105.4,Yes,Medium Value,0.96078753,High Risk
Male,0,10,One year,49.55,475.7,No,Low Value,0.05306397,Low Risk
Female,0,70,Two year,69.2,4872.35,No,High Value,0.028132077,Low Risk
Female,0,17,One year,20.75,418.25,No,Low Value,0.015234137,Low Risk
Female,0,63,Two year,79.85,4861.45,No,High Value,0.009039049,Low Risk
Female,0,13,Month-to-month,76.2,981.45,No,Medium Value,0.1760132,Low Risk
Female,0,49,Month-to-month,84.5,3906.7,No,High Value,0.3517869,Medium Risk
Male,0,2,Month-to-month,49.25,97.0,No,Low Value,0.33153632,Low Risk
Female,0,2,Month-to-month,80.65,144.15,Yes,Low Value,0.6935233,High Risk
Male,0,52,Two year,79.75,4217.8,No,High Value,0.01301102,Low Risk
Female,0,69,Two year,64.15,4254.1,No,High Value,0.007981347,Low Risk
Female,1,43,Month-to-month,90.25,3838.75,No,High Value,0.4425107,Medium Risk
Female,0,15,Month-to-month,99.1,1426.4,Yes,High Value,0.7559695,High Risk
Female,1,25,Month-to-month,69.5,1752.65,No,Medium Value,0.0636238,Low Risk
Female,1,8,Month-to-month,80.65,633.3,Yes,Medium Value,0.7978546,High Risk
Female,1,60,One year,74.85,4456.35,No,High Value,0.03135947,Low Risk
Male,1,18,Month-to-month,95.45,1752.55,Yes,Medium Value,0.79181767,High Risk
Female,0,63,One year,99.65,6311.2,No,High Value,0.12515904,Low Risk
Male,1,66,One year,108.45,7076.35,No,High Value,0.098643355,Low Risk
Female,0,34,Two year,24.95,894.3,No,Low Value,0.017697206,Low Risk
Female,0,72,Two year,107.5,7853.7,No,High Value,0.10698513,Low Risk
Female,0,47,Month-to-month,100.5,4707.1,No,High Value,0.36312515,Medium Risk
Male,0,60,Month-to-month,89.9,5450.7,No,High Value,0.15161785,Low Risk
Male,0,72,Two year,42.1,2962.0,No,High Value,0.007555553,Low Risk
Female,0,18,One year,54.4,957.1,No,Medium Value,0.080416195,Low Risk
Female,0,9,Month-to-month,94.4,857.25,Yes,Medium Value,0.7892433,High Risk
Female,0,3,Month-to-month,75.3,244.1,No,Medium Value,0.33325827,Low Risk
Male,0,47,One year,78.9,3650.35,No,Medium Value,0.09569509,Low Risk
Female,0,31,Two year,79.2,2497.2,No,High Value,0.011764968,Low Risk
Female,0,50,Two year,20.15,930.9,No,Low Value,0.0064133033,Low Risk
Male,0,10,Month-to-month,79.85,887.35,No,Medium Value,0.21067876,Low Risk
Male,0,1,Month-to-month,49.05,49.05,No,Low Value,0.20038086,Low Risk
Female,0,52,One year,20.4,1090.65,No,Low Value,0.017874101,Low Risk
Male,1,64,Two year,111.6,7099.0,No,High Value,0.03658095,Low Risk
Male,0,62,Two year,24.25,1424.6,No,Medium Value,0.00402675,Low Risk
Female,0,3,Month-to-month,64.5,177.4,No,Low Value,0.11704749,Low Risk
